timestamp,roll,pitch,yaw,wx,wy,wz,ax,ay,az,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11
186.713,-0.00619596,-0.147703,-0.0972698,-0.00629732,-0.0197757,0.002866,1.4177,-0.0728068,9.31625,-0.0785121,-0.69865,1.69341,0.0810496,-0.711321,1.68581,-0.156048,-0.684902,1.89825,0.15806,-0.689493,1.88752,0.0475851,0.00817535,-0.0935887,-0.0469372,-0.00217057,-0.101603,0.0156314,0.0406044,-0.0892526,-0.00646348,0.0446839,-0.109812,0,0,0,0,0,0,0,0,0,0,0,0
186.714,-0.00620266,-0.147723,-0.0972669,-0.00626942,-0.019845,0.00277249,1.41788,-0.0730386,9.31488,-0.0784648,-0.698643,1.69331,0.081003,-0.711324,1.68571,-0.156032,-0.684862,1.89816,0.158053,-0.689449,1.88742,0.0472271,0.00734691,-0.0915364,-0.0466588,-0.00284486,-0.0994895,0.0154008,0.0397416,-0.0870747,-0.00619827,0.0439505,-0.107641,0,0,0,0,0,0,0,0,0,0,0,0
186.715,-0.00620932,-0.147743,-0.097264,-0.0062414,-0.0199129,0.00267907,1.41804,-0.0732732,9.31354,-0.078418,-0.698637,1.69323,0.0809566,-0.711328,1.68561,-0.156017,-0.684823,1.89808,0.158047,-0.689406,1.88731,0.0468642,0.00652286,-0.08948,-0.0463756,-0.00351455,-0.0973718,0.0151691,0.0388784,-0.0848915,-0.00593299,0.0432159,-0.105464,0,0,0,0,0,0,0,0,0,0,0,0
186.716,-0.00621593,-0.147763,-0.0972613,-0.00621316,-0.0199787,0.00258596,1.41815,-0.0735125,9.31227,-0.0783715,-0.698631,1.69314,0.0809105,-0.711332,1.68552,-0.156002,-0.684785,1.898,0.158042,-0.689364,1.88721,0.0464937,0.00570881,-0.0874234,-0.046085,-0.00417487,-0.0952532,0.0149363,0.038016,-0.0827042,-0.00566776,0.0424808,-0.10328,0,0,0,0,0,0,0,0,0,0,0,0
186.717,-0.00622251,-0.147783,-0.0972587,-0.00618458,-0.0200418,0.00249353,1.4182,-0.0737585,9.31113,-0.0783254,-0.698626,1.69305,0.0808647,-0.711337,1.68543,-0.155988,-0.684748,1.89792,0.158036,-0.689322,1.88711,0.0461124,0.00491286,-0.085372,-0.0457833,-0.00481882,-0.0931386,0.0147025,0.0371563,-0.0805144,-0.00540272,0.0417464,-0.101092,0,0,0,0,0,0,0,0,0,0,0,0
186.718,-0.00622904,-0.147803,-0.0972561,-0.00615553,-0.0201016,0.00240209,1.41817,-0.0740099,9.3101,-0.0782797,-0.698622,1.69297,0.0808193,-0.711342,1.68534,-0.155973,-0.684712,1.89784,0.158031,-0.689281,1.88701,0.0457173,0.00414163,-0.0833303,-0.0454674,-0.00544071,-0.0910323,0.0144677,0.036301,-0.0783239,-0.00513802,0.0410137,-0.0989006,0,0,0,0,0,0,0,0,0,0,0,0
186.718,-0.00622904,-0.147803,-0.0972561,-0.00615553,-0.0201016,0.00240209,1.41817,-0.0740099,9.3101,-0.0782797,-0.698622,1.69297,0.0808193,-0.711342,1.68534,-0.155973,-0.684712,1.89784,0.158031,-0.689281,1.88701,0.0457173,0.00414163,-0.0833303,-0.0454674,-0.00544071,-0.0910323,0.0144677,0.036301,-0.0783239,-0.00513802,0.0410137,-0.0989006,0,0,0,0,0,0,0,0,0,0,0,0
186.719,-0.00623553,-0.147823,-0.0972536,-0.00612593,-0.0201575,0.00231193,1.4181,-0.0742655,9.30918,-0.0782343,-0.698618,1.69289,0.0807741,-0.711348,1.68525,-0.155959,-0.684676,1.89776,0.158026,-0.689241,1.88691,0.0453063,0.0034005,-0.0813019,-0.0451347,-0.00603592,-0.0889375,0.0142321,0.0354515,-0.076134,-0.00487381,0.0402835,-0.0967063,0,0,0,0,0,0,0,0,0,0,0,0
186.72,-0.00624197,-0.147843,-0.0972513,-0.00609569,-0.020209,0.00222326,1.41798,-0.074524,9.30836,-0.0781895,-0.698616,1.69281,0.0807294,-0.711355,1.68516,-0.155945,-0.684642,1.89769,0.158022,-0.689201,1.88682,0.0448777,0.00269376,-0.0792896,-0.0447832,-0.00660065,-0.0868572,0.0139956,0.0346092,-0.0739461,-0.00461022,0.0395567,-0.0945103,0,0,0,0,0,0,0,0,0,0,0,0
186.721,-0.00624837,-0.147863,-0.097249,-0.00606477,-0.0202558,0.00213627,1.41783,-0.0747843,9.30765,-0.078145,-0.698614,1.69273,0.0806849,-0.711362,1.68507,-0.155931,-0.684608,1.89762,0.158017,-0.689162,1.88672,0.0444302,0.00202481,-0.0772958,-0.044411,-0.00713184,-0.0847936,0.0137584,0.0337752,-0.0717613,-0.00434736,0.038834,-0.0923134,0,0,0,0,0,0,0,0,0,0,0,0
186.722,-0.00625473,-0.147884,-0.0972468,-0.00603603,-0.0202974,0.00204183,1.4177,-0.0748799,9.30685,-0.0781011,-0.698612,1.69266,0.0806409,-0.711369,1.68499,-0.155918,-0.684575,1.89755,0.158013,-0.689124,1.88663,0.0439316,0.00138873,-0.0752798,-0.0440042,-0.00759821,-0.0827893,0.013522,0.0329405,-0.069579,-0.00408345,0.0381243,-0.0901175,0,0,0,0,0,0,0,0,0,0,0,0
186.723,-0.00626105,-0.147904,-0.0972446,-0.00599926,-0.0203483,0.00202029,1.41812,-0.0763078,9.30662,-0.0780578,-0.698611,1.69258,0.0805974,-0.711378,1.68491,-0.155904,-0.684543,1.89748,0.15801,-0.689087,1.88655,0.0433442,0.00100984,-0.0736426,-0.0435325,-0.00805693,-0.0808816,0.0132563,0.0321677,-0.0674263,-0.00384715,0.0373263,-0.0878656,0,0,0,0,0,0,0,0,0,0,0,0
186.724,-0.00626733,-0.147924,-0.0972424,-0.00596077,-0.0204034,0.00200956,1.41865,-0.0766368,9.30575,-0.0780151,-0.69861,1.69251,0.0805545,-0.711386,1.68483,-0.155891,-0.684511,1.89741,0.158006,-0.68905,1.88646,0.0426732,0.000764965,-0.0719574,-0.0429318,-0.0083993,-0.079114,0.0129865,0.0313982,-0.0652768,-0.00361391,0.0365065,-0.0855917,0,0,0,0,0,0,0,0,0,0,0,0
186.724,-0.00626733,-0.147924,-0.0972424,-0.00596077,-0.0204034,0.00200956,1.41865,-0.0766368,9.30575,-0.0780151,-0.69861,1.69251,0.0805545,-0.711386,1.68483,-0.155891,-0.684511,1.89741,0.158006,-0.68905,1.88646,0.0426732,0.000764965,-0.0719574,-0.0429318,-0.0083993,-0.079114,0.0129865,0.0313982,-0.0652768,-0.00361391,0.0365065,-0.0855917,0,0,0,0,0,0,0,0,0,0,0,0
186.725,-0.00627357,-0.147945,-0.0972403,-0.00591821,-0.0204648,0.0019962,1.41924,-0.0768316,9.30533,-0.0779731,-0.69861,1.69244,0.0805122,-0.711395,1.68475,-0.155879,-0.684481,1.89735,0.158003,-0.689015,1.88638,0.0419824,0.000599319,-0.0703853,-0.0422346,-0.00862676,-0.0774152,0.0127207,0.0306116,-0.0631006,-0.00337535,0.0356778,-0.0833102,0,0,0,0,0,0,0,0,0,0,0,0
186.726,-0.00627976,-0.147965,-0.0972382,-0.00587705,-0.0205299,0.00198204,1.41974,-0.0770242,9.30499,-0.0779318,-0.698609,1.69237,0.0804707,-0.711403,1.68468,-0.155866,-0.684451,1.89729,0.157999,-0.68898,1.8863,0.0412627,0.000490006,-0.0688449,-0.0414857,-0.00876462,-0.0757724,0.012453,0.0298157,-0.0609119,-0.00313805,0.034843,-0.0810241,0,0,0,0,0,0,0,0,0,0,0,0
186.727,-0.00628591,-0.147986,-0.097236,-0.00583827,-0.020597,0.00196744,1.42016,-0.0772167,9.30479,-0.0778913,-0.698609,1.6923,0.08043,-0.711412,1.6846,-0.155854,-0.684422,1.89723,0.157996,-0.688946,1.88622,0.0405224,0.000419552,-0.0673253,-0.0407095,-0.00883621,-0.0741743,0.0121827,0.0290157,-0.0587216,-0.00290332,0.0340045,-0.0787349,0,0,0,0,0,0,0,0,0,0,0,0
186.728,-0.00629202,-0.148007,-0.0972339,-0.00580193,-0.0206647,0.00195242,1.42051,-0.0774067,9.30468,-0.0778516,-0.698609,1.69224,0.0803901,-0.711421,1.68453,-0.155842,-0.684394,1.89717,0.157994,-0.688913,1.88614,0.0397662,0.000377643,-0.0658203,-0.0399156,-0.00885756,-0.0726086,0.0119097,0.0282141,-0.0565314,-0.00267139,0.033165,-0.0764449,0,0,0,0,0,0,0,0,0,0,0,0
186.729,-0.0062981,-0.148027,-0.0972319,-0.00576666,-0.0207308,0.00193714,1.42081,-0.0776297,9.30474,-0.0778126,-0.698608,1.69217,0.080351,-0.71143,1.68446,-0.15583,-0.684366,1.89712,0.157991,-0.68888,1.88607,0.0389991,0.000358663,-0.0643257,-0.0391091,-0.00884004,-0.071067,0.0116439,0.0274348,-0.0544211,-0.00244128,0.0323272,-0.0741563,0,0,0,0,0,0,0,0,0,0,0,0
186.73,-0.00630414,-0.148048,-0.0972298,-0.00573579,-0.0207945,0.00192454,1.42091,-0.0778077,9.3049,-0.0777743,-0.698608,1.69211,0.0803127,-0.711439,1.68439,-0.155819,-0.68434,1.89707,0.157989,-0.688849,1.88599,0.0382371,0.000343296,-0.0628174,-0.0383362,-0.00881787,-0.0695462,0.0113707,0.0266569,-0.0522996,-0.00221879,0.0314802,-0.0718399,0,0,0,0,0,0,0,0,0,0,0,0
186.73,-0.00630414,-0.148048,-0.0972298,-0.00573579,-0.0207945,0.00192454,1.42091,-0.0778077,9.3049,-0.0777743,-0.698608,1.69211,0.0803127,-0.711439,1.68439,-0.155819,-0.68434,1.89707,0.157989,-0.688849,1.88599,0.0382371,0.000343296,-0.0628174,-0.0383362,-0.00881787,-0.0695462,0.0113707,0.0266569,-0.0522996,-0.00221879,0.0314802,-0.0718399,0,0,0,0,0,0,0,0,0,0,0,0
186.731,-0.00631015,-0.148069,-0.0972277,-0.00570757,-0.0208543,0.00191213,1.42095,-0.0779485,9.305,-0.0777368,-0.698608,1.69205,0.0802751,-0.711447,1.68432,-0.155808,-0.684314,1.89702,0.157987,-0.688818,1.88593,0.0374724,0.000334879,-0.0613069,-0.0375661,-0.00878437,-0.0680263,0.01109,0.0258736,-0.0501393,-0.00200012,0.0306395,-0.0695292,0,0,0,0,0,0,0,0,0,0,0,0
186.736,-0.00633979,-0.148174,-0.0972176,-0.00558474,-0.0211379,0.00181294,1.4225,-0.0787632,9.3067,-0.0775622,-0.698605,1.69176,0.0801004,-0.711489,1.684,-0.155757,-0.684196,1.8968,0.15798,-0.688677,1.88561,0.0330932,0.00097022,-0.054234,-0.0330216,-0.00770868,-0.0609805,0.00966466,0.0219368,-0.0393372,-0.000914395,0.026548,-0.0581805,0,0,0,0,0,0,0,0,0,0,0,0
186.736,-0.00633979,-0.148174,-0.0972176,-0.00558474,-0.0211379,0.00181294,1.4225,-0.0787632,9.3067,-0.0775622,-0.698605,1.69176,0.0801004,-0.711489,1.684,-0.155757,-0.684196,1.8968,0.15798,-0.688677,1.88561,0.0330932,0.00097022,-0.054234,-0.0330216,-0.00770868,-0.0609805,0.00966466,0.0219368,-0.0393372,-0.000914395,0.026548,-0.0581805,0,0,0,0,0,0,0,0,0,0,0,0
186.736,-0.00633979,-0.148174,-0.0972176,-0.00558474,-0.0211379,0.00181294,1.4225,-0.0787632,9.3067,-0.0775622,-0.698605,1.69176,0.0801004,-0.711489,1.684,-0.155757,-0.684196,1.8968,0.15798,-0.688677,1.88561,0.0330932,0.00097022,-0.054234,-0.0330216,-0.00770868,-0.0609805,0.00966466,0.0219368,-0.0393372,-0.000914395,0.026548,-0.0581805,0,0,0,0,0,0,0,0,0,0,0,0
186.736,-0.00633979,-0.148174,-0.0972176,-0.00558474,-0.0211379,0.00181294,1.4225,-0.0787632,9.3067,-0.0775622,-0.698605,1.69176,0.0801004,-0.711489,1.684,-0.155757,-0.684196,1.8968,0.15798,-0.688677,1.88561,0.0330932,0.00097022,-0.054234,-0.0330216,-0.00770868,-0.0609805,0.00966466,0.0219368,-0.0393372,-0.000914395,0.026548,-0.0581805,0,0,0,0,0,0,0,0,0,0,0,0
186.736,-0.00633979,-0.148174,-0.0972176,-0.00558474,-0.0211379,0.00181294,1.4225,-0.0787632,9.3067,-0.0775622,-0.698605,1.69176,0.0801004,-0.711489,1.684,-0.155757,-0.684196,1.8968,0.15798,-0.688677,1.88561,0.0330932,0.00097022,-0.054234,-0.0330216,-0.00770868,-0.0609805,0.00966466,0.0219368,-0.0393372,-0.000914395,0.026548,-0.0581805,0,0,0,0,0,0,0,0,0,0,0,0
186.737,-0.00634564,-0.148195,-0.0972157,-0.00556283,-0.0211917,0.00179062,1.42265,-0.0789279,9.3073,-0.07753,-0.698603,1.69171,0.0800683,-0.711496,1.68395,-0.155747,-0.684175,1.89676,0.15798,-0.688652,1.88556,0.0321786,0.00118893,-0.0528917,-0.0320749,-0.00738271,-0.0596311,0.00938291,0.021154,-0.0371857,-0.000701832,0.025738,-0.0559244,0,0,0,0,0,0,0,0,0,0,0,0
186.737,-0.00634564,-0.148195,-0.0972157,-0.00556283,-0.0211917,0.00179062,1.42265,-0.0789279,9.3073,-0.07753,-0.698603,1.69171,0.0800683,-0.711496,1.68395,-0.155747,-0.684175,1.89676,0.15798,-0.688652,1.88556,0.0321786,0.00118893,-0.0528917,-0.0320749,-0.00738271,-0.0596311,0.00938291,0.021154,-0.0371857,-0.000701832,0.025738,-0.0559244,0,0,0,0,0,0,0,0,0,0,0,0
186.738,-0.00635147,-0.148216,-0.0972138,-0.00554149,-0.0212485,0.00176267,1.42342,-0.0791037,9.30769,-0.0774988,-0.698602,1.69166,0.0800373,-0.711503,1.68389,-0.155738,-0.684155,1.89673,0.157979,-0.688627,1.8855,0.0311649,0.00149944,-0.051612,-0.0310132,-0.00693776,-0.0584058,0.00910576,0.0204095,-0.0352295,-0.000486682,0.0249413,-0.0537041,0,0,0,0,0,0,0,0,0,0,0,0
186.739,-0.00635727,-0.148238,-0.0972119,-0.0055268,-0.0213064,0.00173679,1.4234,-0.0791249,9.30844,-0.0774686,-0.6986,1.69161,0.0800073,-0.71151,1.68383,-0.155729,-0.684135,1.89669,0.157979,-0.688603,1.88545,0.0302012,0.00179131,-0.0503358,-0.0300285,-0.00652232,-0.0571166,0.00879704,0.0195617,-0.0328639,-0.000280865,0.0241291,-0.0514495,0,0,0,0,0,0,0,0,0,0,0,0
186.74,-0.00636305,-0.148259,-0.09721,-0.00550678,-0.0213548,0.00171203,1.42343,-0.0794136,9.3098,-0.0774394,-0.698598,1.69156,0.0799782,-0.711516,1.68377,-0.155721,-0.684116,1.89666,0.157979,-0.688579,1.8854,0.0292582,0.00208068,-0.0490531,-0.0290599,-0.00611783,-0.0558204,0.00851797,0.0187909,-0.0307388,-7.23688e-05,0.0233312,-0.0492087,0,0,0,0,0,0,0,0,0,0,0,0
186.741,-0.00636881,-0.14828,-0.0972082,-0.00548756,-0.0213978,0.0016881,1.42358,-0.0796008,9.31085,-0.0774111,-0.698596,1.69151,0.0799501,-0.711522,1.68372,-0.155713,-0.684098,1.89663,0.157979,-0.688557,1.88535,0.0283047,0.00238342,-0.047771,-0.028095,-0.0057042,-0.0545537,0.00823977,0.0180692,-0.0287811,0.000134916,0.0225578,-0.0470197,0,0,0,0,0,0,0,0,0,0,0,0
186.742,-0.00637456,-0.148302,-0.0972063,-0.00547251,-0.021439,0.00166055,1.42351,-0.0795737,9.31145,-0.0773837,-0.698593,1.69147,0.079923,-0.711527,1.68367,-0.155705,-0.684081,1.89661,0.157979,-0.688535,1.88531,0.0273611,0.00268232,-0.0465055,-0.0271263,-0.00528787,-0.0532519,0.00793685,0.0172467,-0.0264179,0.000337842,0.0217799,-0.0448069,0,0,0,0,0,0,0,0,0,0,0,0
186.743,-0.00638027,-0.148323,-0.0972046,-0.00545172,-0.0214668,0.00164116,1.42342,-0.0800026,9.31338,-0.0773573,-0.69859,1.69142,0.0798968,-0.711532,1.68361,-0.155697,-0.684064,1.89658,0.15798,-0.688514,1.88527,0.0264341,0.00298388,-0.0452053,-0.0262128,-0.00489769,-0.0519722,0.00767211,0.0165842,-0.0246038,0.000541015,0.0210208,-0.0426166,0,0,0,0,0,0,0,0,0,0,0,0
186.744,-0.00638597,-0.148345,-0.0972028,-0.00543779,-0.021492,0.0016162,1.42321,-0.079858,9.31401,-0.0773318,-0.698587,1.69138,0.0798715,-0.711536,1.68356,-0.15569,-0.684048,1.89656,0.157981,-0.688494,1.88523,0.0255175,0.00327085,-0.0439158,-0.0253027,-0.00451104,-0.0506742,0.00736783,0.0158078,-0.0223308,0.000739028,0.0202735,-0.0404393,0,0,0,0,0,0,0,0,0,0,0,0
186.744,-0.00638597,-0.148345,-0.0972028,-0.00543779,-0.021492,0.0016162,1.42321,-0.079858,9.31401,-0.0773318,-0.698587,1.69138,0.0798715,-0.711536,1.68356,-0.15569,-0.684048,1.89656,0.157981,-0.688494,1.88523,0.0255175,0.00327085,-0.0439158,-0.0253027,-0.00451104,-0.0506742,0.00736783,0.0158078,-0.0223308,0.000739028,0.0202735,-0.0404393,0,0,0,0,0,0,0,0,0,0,0,0
186.745,-0.00639165,-0.148366,-0.097201,-0.00541826,-0.0215068,0.00158579,1.42303,-0.080005,9.31549,-0.0773072,-0.698583,1.69133,0.0798471,-0.71154,1.68351,-0.155683,-0.684033,1.89654,0.157982,-0.688474,1.88519,0.0246163,0.00355941,-0.0426403,-0.0243742,-0.00411056,-0.0493681,0.00708839,0.0150607,-0.020103,0.000942682,0.0195484,-0.0382829,0,0,0,0,0,0,0,0,0,0,0,0
186.746,-0.0063973,-0.148388,-0.0971993,-0.00539608,-0.021507,0.00156222,1.42266,-0.0803451,9.31742,-0.0772834,-0.698579,1.69129,0.0798236,-0.711544,1.68347,-0.155676,-0.684019,1.89652,0.157983,-0.688455,1.88515,0.0237433,0.00383431,-0.0413209,-0.0235159,-0.00374877,-0.0480411,0.0068275,0.0144257,-0.0182744,0.00114379,0.0188396,-0.0361322,0,0,0,0,0,0,0,0,0,0,0,0
186.747,-0.00640293,-0.148409,-0.0971976,-0.00538013,-0.0214981,0.00153866,1.42212,-0.0803054,9.3186,-0.0772605,-0.698575,1.69125,0.0798009,-0.711548,1.68342,-0.155669,-0.684005,1.89651,0.157984,-0.688437,1.88512,0.0228952,0.0040788,-0.0399725,-0.0227119,-0.00342288,-0.0466844,0.00653003,0.0137449,-0.0162729,0.00133773,0.0181485,-0.0339934,0,0,0,0,0,0,0,0,0,0,0,0
186.748,-0.00640841,-0.148431,-0.0971959,-0.00522395,-0.0215345,0.00158578,1.42979,-0.0846537,9.32736,-0.0772377,-0.698572,1.69122,0.0797797,-0.71155,1.68337,-0.155663,-0.683992,1.89649,0.157986,-0.68842,1.88509,0.0227814,0.00365437,-0.0381273,-0.0212117,-0.00263548,-0.0459078,0.00630758,0.0130126,-0.014137,0.00162777,0.0172874,-0.0317427,0,0,0,0,0,0,0,0,0,0,0,0
